id,title,fen,player_color,mode,mate_in,plan,level_tier,level_thresholds,score_rules,created_at,updated_at,training_category,training_section,training_lesson_title
15000,Double Attack #2,3r1k2/pp1n2pb/q1p1Qp2/2P2r2/3Pp1Np/P1P1B2P/6P1/1R1R2K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15001,Fork Challenge #1 N,8/5pk1/8/4p3/pp1qPn2/5P2/PP2B3/2Q2K2 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15002,Fork Challenge #2 N,4k3/R4br1/8/p3P3/4N3/5K2/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15003,Fork Challenge #3 N,r5k1/ppp2p1p/6pB/4n2n/3bPp1q/2NB3P/PPP3PK/R2Q1R2 b - - 1 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15004,Fork Challenge #4 Q,8/1q6/p3p1k1/2P1Q2p/P3P2P/2P5/4r1PK/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15005,Fork Challenge #5 Q,5Bk1/1b1r2p1/q4p1p/2Q5/2P5/6PP/P4P2/4R1K1 b - - 0 31,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15006,Fork Challenge #6 P,r1bq1rk1/3np1bp/p2p1pp1/1PpP3n/4PP1B/2N2Q2/PP1N2PP/R3KB1R b KQ - 1 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15007,Fork Challenge #7 P,4b1rr/4k1p1/4pp1n/pp1pP1RP/2pP1R2/P1P2B1N/2PK1P2/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
15008,Discovered Attack #1,5q2/3k2pp/8/8/8/5N2/6PP/5RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15009,Discovered Check #1,5k2/3q2pp/8/8/8/5N2/6PP/5RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15010,Discovered Attack #2,r4k2/2r2pp1/7p/3P4/4B3/5N2/6PP/5RK1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15011,Discovered Check #2,r2q1bnr/pp2k1pp/3p1p2/1Bp1N1B1/8/2Pp4/PP3PPP/RN1bR1K1 w - - 0 12,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15012,Discovered Attack #3,r1b2rk1/ppqn1pbp/5np1/3p4/3BP3/1P1B1P1P/P2N2PN/R2Q1RK1 b - - 0 14,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15013,Discovered Check #3,3k4/7R/p2P4/2p1b3/8/2P3rB/P4r2/1K2R3 w - - 3 41,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15014,Discovered Attack #4,8/8/4np2/4pk1p/RNr4P/P3KP2/1P6/8 w - - 1 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15015,Discovered Check #4,r1bq2rk/1p1p4/p1n1pPQp/3n4/4N3/1N1Bb3/PPP3PP/R4R1K w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15016,Discovered Attack #5,8/1b1Q1ppk/p2bp2p/1p1q4/3Pp3/1P2B1P1/P6P/2R3K1 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15017,Discovered Check #5,3r4/1R1P1k1p/1p1q2p1/1Pp5/2P5/6P1/4Q1KP/8 w - - 6 51,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Discovered Attacks
15018,Double Check Introduction,k1q5/1pp5/8/8/N7/8/8/R5K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15019,Double Check #1,r3k2r/ppp2pp1/2np4/2B1p2n/2B1P1Nq/3P4/PPP2PP1/RN1Q1RK1 b kq - 0 11,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15020,Double Check #2,rn2kb1r/pp2pp1p/2p2p2/8/8/3Q1N2/qPPB1PPP/2KR3R w kq - 0 13,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15021,Double Check #3,r4k2/pppb1Pp1/2np3p/2b5/2B2Bnq/2N5/PP2Q1PP/4RR1K w - - 6 17,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15022,Double Check #4,3r2k1/pp5p/6p1/2Ppq3/4Nr2/4B2b/PP2P2K/R1Q1R2B b - - 0 26,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15023,Double Check #5,r3k2r/2q1np1p/p3P1p1/1p2p3/8/2PBB3/P1PR2PP/5RK1 w kq - 0 21,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Double Check
15024,Overloaded #1,6k1/5pp1/4b1n1/8/8/3BR3/5PPP/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15025,Overloaded #2,2r1rbk1/5pp1/3P1n2/8/8/3Q3P/2B2PPK/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15026,Overloaded #3,2b5/7p/3k2pP/1p1p1pP1/1P1P1K2/8/5P2/3B4 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15027,Overloaded #4,3q3k/pp2b1pp/8/2P5/1P2RBQ1/2P5/P4rPp/7K w - - 2 29,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15028,Overloaded #5,8/1Q1rkpp1/p3p3/3nB1r1/8/3q3P/PP3R2/K1R5 w - - 2 34,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15029,Overloaded #6,3r2k1/pb1r1pp1/1pn2q1p/3B4/6Q1/P4NP1/1P3PP1/3RR1K1 w - - 7 23,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15030,Overloaded #7,2Q5/1p3p1k/p2prPq1/8/7p/8/PP3RP1/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15031,Overloaded #8,5k1r/p4p2/3Np2p/3bP3/8/3RBPb1/1r4P1/2R3K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15032,Overloaded #9,3r2k1/1pp4p/p1n1q1p1/2Q5/1P2B3/P3P1Pb/3N1R1P/6K1 b - - 1 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15033,Overloaded #10,r7/2k1Pp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/1R1Q2K1 w - - 2 29,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Overloaded Pieces
15034,Zwischenzug,rBbqk2r/pp3ppp/5n2/8/1bpP4/8/PP2B1PP/RN1Q1KNR b kq - 0 9,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Zwischenzug
15035,Zwischenschach,2r2rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P3Q1PP/RN2KR2 b Q - 0 16,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Zwischenzug
15036,Zwischenzug Challenge #1,r1b5/4kq2/p1Bbp1Qp/6p1/8/4B1P1/PPP4P/6K1 w - - 0 29,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Zwischenzug
15037,Zwischenzug Challenge #2,2r3k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P1R3PP/6K1 w - - 2 28,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Zwischenzug
15038,Zwischenzug Challenge #3,2r2r1k/1pN1Qpbp/p4pp1/qb6/8/1B6/PP3PPP/2RR2K1 w - - 10 23,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,Zwischenzug
15039,X-Ray #1,1R1r2k1/2q2ppp/8/1Q6/8/6P1/5P1P/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15040,X-Ray #2,8/6p1/5p1k/BP1B4/5P1p/r6P/2R3P1/6Kn b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15041,X-Ray #3,rn1qr1k1/1p2np2/2p3p1/8/1pPb4/7Q/PB1P1PP1/2KR1B1R w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15042,X-Ray #4,3Rr1k1/p4ppp/b5q1/2Q5/1B3PP1/P7/1PP1r2P/2K5 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15043,X-Ray #5,2r5/p2kBp2/b3pP1p/3p2p1/1p6/5P2/PqQ2RPP/2R3K1 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15044,X-Ray #6,r1b2rk1/4n1b1/p2p2PQ/3P4/2n1B3/2B3P1/qPP5/1NKR3R b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15045,X-Ray #7,5n1k/2r1Rr1p/1p3P1B/pPqp4/P1np2Q1/3B4/2P3PP/R5K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,X-Ray
15046,Zugzwang #1,3k4/8/2K5/7R/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Zugzwang
15047,Zugzwang #2,5rk1/6n1/8/7p/4q1pP/6P1/6RQ/6NK b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Zugzwang
15048,Zugzwang #3,8/8/3k4/1p1p4/1P6/2P1K3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Zugzwang
15049,Zugzwang #4,1k1b4/2n5/1K6/4B3/6B1/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Zugzwang
15050,Interference Introduction,1r2r1k1/p1pbqppp/Q2b1n2/3p4/P2P4/2P5/1P2BPPP/R1B1KN1R b KQ - 2 14,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15051,Interference #2,1k1r3r/1pp2pp1/p1p5/2Q5/7q/2Pp1Pp1/PP1N2P1/R1B1RK2 b - - 3 20,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15052,Interference #3,r2q2k1/pQ2bppp/4p3/8/3r1B2/6P1/P3PP1P/1R3RK1 w - - 1 17,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15053,Interference #4,2rqr1k1/pp1Q1pbp/2n3p1/8/4P3/4BP2/PP2B1PP/2RR2K1 b - - 0 21,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15054,Interference #5,3B2k1/6p1/3b4/1p1p3q/3P1p2/2PQ1NPb/1P2rP1P/R5K1 b - - 5 30,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15055,Interference #6,2r4k/5pR1/7p/4pN1q/7P/2n1P3/2Q2P1K/8 b - - 0 36,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15056,Interference #7,5q2/1b4pk/1p2p1n1/1P1pPp2/P2P1P1p/rB1N1R1P/1Q4PK/8 w - - 2 46,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Interference
15057,Greek Gift Introduction,rnbq1rk1/pppn1ppp/4p3/3pP3/1b1P4/2NB1N2/PPP2PPP/R1BQK2R w KQq - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15058,Greek Gift Challenge #1,rnb2rk1/pp1nqppp/4p3/3pP3/3p3P/2NB3N/PPP2PP1/R2QK2R w KQ - 0 10,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15059,Greek Gift Challenge #2,r3r1k1/1b2qppp/p7/1p1Pb3/1P6/P2B4/1B2Q1PP/3R1RK1 w - - 0 21,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15060,Greek Gift Challenge #3,r2qrbk1/5ppp/pn1p4/np2P1P1/3p4/5N2/PPB2PP1/R1BQR1K1 w - - 1 20,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15061,Greek Gift Challenge #4,3r1rk1/bpq2ppp/p1b1p3/2P5/1P2B3/P4Q2/1B3PPP/2R2RK1 w - - 3 18,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15062,Defend against the Greek Gift,r1b2rk1/ppqn1ppB/4p3/2pnP3/1p1P4/5N2/PP1N1PPP/R2Q1RK1 b - - 0 12,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Greek Gift
15063,Deflection #1,R4rk1/5ppp/4b3/8/8/3B3P/5PP1/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15064,Deflection #2,8/3P4/8/k2r4/8/6R1/5K2/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15065,Deflection #3,4r1k1/1p1q1ppp/p2p1P2/1n1P4/1P1Q4/6P1/P4PKP/4R3 w - - 0 3,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15066,Deflection #4,rnbqkb1r/pp2pppp/5n2/8/2B1P3/2N5/PPP2PPP/R1BQK2R w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15067,Deflection #5,2b3k1/4q2p/3r2pQ/8/8/3r3R/6PP/5RK1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15068,Deflection #6,4r1k1/5p2/3q2pp/4n3/6P1/4Q1NP/5P2/4R1K1 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15069,Deflection #7,r2r2k1/p4pp1/1p1q3p/8/P7/7P/1P3PP1/R2QR1K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15070,Deflection #8,r5rk/3b2qp/p1p5/PpP3BQ/1P6/2PB2P1/5PKP/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15071,Deflection #9,r1bk3r/pppp1pp1/1n5p/4N2n/2q5/5PQ1/PPP3PP/R3R1K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15072,Deflection #10,6k1/1r3pp1/5q1p/Np6/8/1P1p3Q/4bPPR/2R3K1 b - - 3 4,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Deflection
15073,Attraction #1,5nk1/5p1p/8/5N2/8/Q4p1q/3r4/1R4K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15074,Attraction #2,rnb1kb1r/pp3ppp/2p5/4q3/4n3/3Q4/PPPB1PPP/2KR1BNR w kq - 0 9,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15075,Attraction #3,r2B3r/3n2pp/p1kbR3/1b1p1P2/1qpP4/4PQPP/2B2P1K/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15076,Attraction #4,r4Bk1/5p2/4b1p1/q7/3P4/8/P1P2Q2/K6R w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15077,Attraction #5,r3r1k1/p1p2pp1/3b3p/6R1/1PB1Q3/7q/2P2R2/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15078,Attraction #6,8/5pk1/4p3/1p1r4/6P1/4P2p/PR2KP2/8 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15079,Attraction #7,4k1r1/R6p/4Nb2/4n3/6Pq/2P4P/3Q3K/5R2 w - - 2 2,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15080,Attraction #8,6k1/ppq3bp/2n2np1/5p2/2P2P2/4KBN1/PP5P/RQ6 b - - 0 23,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15081,Attraction #9,8/r2n1p2/1r1N1Pk1/3pP1p1/1p4P1/qPp2K2/P1R4R/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15082,Attraction #10,7r/6kp/5bp1/8/8/8/6PP/2B2RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Attraction
15083,Underpromotion: Introduction,7n/r4P1k/5b2/5N1p/8/1q6/PP6/K5R1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15084,Underpromotion #1,8/5P1k/8/7K/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15085,Underpromotion #2,3B4/1P6/k7/8/8/5K2/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15086,Underpromotion #3,5r2/6Pk/5K2/8/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15087,Underpromotion #4,8/5P1p/6kr/7p/7P/5K2/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15088,Underpromotion #5,8/8/8/8/2n5/k7/2p5/KB6 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15089,Underpromotion #6,4Q3/Pq4pk/5p1p/5P1K/6PP/8/8/8 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15090,Underpromotion #7,4r1k1/3q2P1/6Q1/8/6p1/6Pp/7P/5R1K w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15091,Underpromotion #8,8/6PK/5k2/8/8/8/8/6r1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15092,Underpromotion #9,3r4/k1P5/P7/1K6/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Underpromotion
15093,Desperado #1,r3kb1r/pp3ppp/2N1pn2/q7/3P4/2N5/PP2bPPP/R1BQ1RK1 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Desperado
15094,Desperado #2,r2q2rk/2p2p2/pb1p3p/1p1N4/3nP1nB/PB3P2/1P3P2/R2QRK2 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Desperado
15095,Desperado #3,r5k1/ppp1p1rp/8/3P3Q/2nRPqb1/2N5/PP2N1P1/1K5R b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Desperado
15096,Desperado #4,r5rk/ppN2p1p/5PpQ/5q2/1p3Rn1/1P6/P5PP/3R1K2 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Desperado
15097,Desperado #5,5rk1/3b2b1/4pnQp/1p1P4/p2BN2q/6P1/PPB2P2/6K1 b - - 0 1,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Desperado
15098,Counter-Check #1,k7/q7/Q7/3N4/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Counter Check
15099,Counter-Check #2,8/6P1/8/8/1q2K3/8/5Q2/k7 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Counter Check
15100,Counter-Check #3,6r1/1p1np2k/p4b1p/q1pP4/2P1N3/4B3/PPQ4P/5RK1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Counter Check
15101,Counter-Check #4,8/8/8/8/8/k5R1/2rn4/K7 b - - 55 94,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Counter Check
15102,Counter-Check #5,2b5/5Npp/p1P5/P1R4k/1p4r1/3r1pPK/4BP1P/7R b - - 1 31,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Counter Check
15103,Undermining #1,4rrk1/R5bp/3qp1p1/3p3n/2pB1P2/6PP/1P3PB1/3QR1K1 w - - 2 24,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Undermining
15104,Undermining #2,1b3rk1/1p5p/8/1N1p4/P1nBn1q1/4P1P1/R4PKN/7Q b - - 1 30,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Undermining
15105,Undermining #3,3qnrk1/1p3ppp/8/p4N2/8/P5QP/1P3PP1/4R1K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Undermining
15106,Undermining #4,1q3r1k/r4ppp/5n2/8/3Q1N2/p6R/PPP5/1K5R w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Undermining
15107,Undermining #5,1q2rk2/1p3ppp/p4n2/2N5/1P6/6P1/P1Q3KP/5R2 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Undermining
15108,Clearance #1,4R3/2k5/3r1Np1/1p4K1/5P2/8/1n6/8 w - - 3 57,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Clearance
15109,Clearance #2,8/k7/p1p5/2P1p3/1P2B3/P3P3/3K2p1/6n1 b - - 1 48,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Clearance
15110,Clearance #3,1k1r3r/ppqb4/5Ppp/3p4/P2np3/3BR1Q1/2PB1PPP/R5K1 w - - 0 23,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Clearance
15111,Clearance #4,5k1r/1p6/2b1pNpp/2q1P2N/5P1Q/pPp5/Pn4PK/4R3 w - - 0 40,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Clearance
15112,Clearance #5,5r2/p2q1r1p/7k/3pQ1R1/5pbP/8/PP1B1PP1/4R1K1 w - - 3 28,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Advanced Tactics,Clearance
15113,Pawn on the 2nd rank,8/8/8/1k6/8/4K3/2P5/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Pawn Endgames,Key Squares
15114,Pawn on the 3rd rank,4k3/8/8/8/8/1KP5/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Pawn Endgames,Key Squares
